,precision,recall,f1-score,classifier,vectorizer
36103,0.6859282910111126,0.6816143497757847,0.6714043431721035,"SVC tfidf embedding sum, d=300, s=15",embedding vectorizer
36121,0.6873575180262643,0.6816143497757847,0.6702291025479775,"SVC tfidf embedding sum, d=300, s=10",embedding vectorizer
36115,0.6685192526501675,0.6636771300448431,0.6503376871311622,"SVC tfidf embedding sum, d=100, s=10",embedding vectorizer
36072,0.5817602943938964,0.5874439461883408,0.5776509489513975,SGD tfidf,baseline vectorizer
36125,0.5488022932394846,0.5560538116591929,0.5474708334400623,PA count,baseline vectorizer
36073,0.5458413960563653,0.547085201793722,0.546365014358497,SGD count,baseline vectorizer
340,0.5615483171536984,0.484304932735426,0.40511862091390427,Dictionary - stemmed,Dictionary - stemmed
696,0.6389952240329578,0.49327354260089684,0.39182220442612004,Dictionary - not stemmed,Dictionary - not stemmed
