,precision,recall,f1-score,classifier,vectorizer
36412,0.7674254940245028,0.7892376681614349,0.7725887800544357,PA tfidf,baseline vectorizer
36449,0.7731802328214884,0.7982062780269058,0.7713729708822357,"ET tifdf embedding sum, d=100, s=10",embedding vectorizer
36458,0.7726223435367517,0.7982062780269058,0.7681917870800832,"ET count embedding mean, d=300, s=15",embedding vectorizer
36360,0.7608629939191885,0.7847533632286996,0.7664507645914186,SGD tfidf,baseline vectorizer
36461,0.7739933362870159,0.7982062780269058,0.7572960239916406,"ET tifdf embedding sum, d=300, s=15",embedding vectorizer
36413,0.7410789207805976,0.7354260089686099,0.7381219991401772,PA count,baseline vectorizer
687,0.7044709189478615,0.4260089686098655,0.4469299200371515,Dictionary - not stemmed,Dictionary - not stemmed
343,0.7733398999455662,0.4125560538116592,0.4125560538116591,Dictionary - stemmed,Dictionary - stemmed
