,precision,recall,f1-score,classifier,vectorizer
36309,0.8256592196772374,0.8161434977578476,0.8063718260430582,PA count,baseline vectorizer
36288,0.8149736396201637,0.8116591928251121,0.8041321434581613,"SVC count embedding max, d=300, s=15",embedding vectorizer
36289,0.8149736396201637,0.8116591928251121,0.8041321434581613,"SVC tfidf embedding max, d=300, s=15",embedding vectorizer
36316,0.8011390512951506,0.8026905829596412,0.8016441671676519,"PA count embedding mean, d=100, s=15",embedding vectorizer
36256,0.804847863529827,0.7982062780269058,0.7874812724862835,SGD tfidf,baseline vectorizer
36308,0.804847863529827,0.7982062780269058,0.7874812724862835,PA tfidf,baseline vectorizer
686,0.7840741869476251,0.7354260089686099,0.7393949674588128,Dictionary - not stemmed,Dictionary - not stemmed
342,0.7668764638725092,0.7040358744394619,0.7074517638627998,Dictionary - stemmed,Dictionary - stemmed
