,precision,recall,f1-score,classifier,vectorizer
36185,0.6317244592153571,0.6278026905829597,0.622905457622196,"SGD tfidf embedding mean, d=300, s=10",embedding vectorizer
36248,0.6238467279103403,0.6233183856502242,0.6217641168531499,"PA count embedding mean, d=300, s=10",embedding vectorizer
36249,0.605198753515239,0.6053811659192825,0.6050950259332427,"PA tfidf embedding mean, d=300, s=10",embedding vectorizer
36255,0.6006975746490385,0.600896860986547,0.6004947743648001,ET count,baseline vectorizer
36176,0.565257313687807,0.5650224215246636,0.5609870671051013,SGD tfidf,baseline vectorizer
36177,0.5575903028719869,0.5560538116591929,0.5554641823667271,SGD count,baseline vectorizer
697,0.577998524152807,0.5695067264573991,0.5498958513357407,Dictionary - not stemmed,Dictionary - not stemmed
341,0.5625508279291072,0.5515695067264574,0.5182744587995225,Dictionary - stemmed,Dictionary - stemmed
